날짜,시가,고가,저가,종가,거래량,등락률
2025-11-28,103800,103800,100500,100500,15292277,-2.898550724637681
2025-12-01,102000,102800,99900,100800,10905526,0.2985074626865672
2025-12-02,101200,103500,101000,103400,13649487,2.579365079365079
2025-12-03,104700,105500,104000,104500,14697927,1.0638297872340425
2025-12-04,103900,105100,103200,105100,11931145,0.5741626794258373
2025-12-05,105300,108400,104600,108400,19755571,3.139866793529972
2025-12-08,109700,110000,108000,109500,15527762,1.014760147601476
2025-12-09,108900,109400,107300,108400,13671800,-1.004566210045662
2025-12-10,108300,109800,107400,108000,12365092,-0.36900369003690037
2025-12-11,109200,110500,107300,107300,22994507,-0.6481481481481481
2025-12-12,107100,108900,106800,108900,14210314,1.4911463187325256
2025-12-15,105300,105800,104600,104800,20594654,-3.7649219467401287
2025-12-16,104900,105600,102700,102800,18852079,-1.9083969465648856
2025-12-17,103500,108100,103400,107900,22297611,4.961089494163424
2025-12-18,106400,108200,105700,107600,20445631,-0.27803521779425394
2025-12-19,109700,109700,106200,106300,25917098,-1.20817843866171
2025-12-22,109700,110500,109300,110500,24859171,3.951081843838194
2025-12-23,110900,112500,110400,111500,20419187,0.904977375565611
2025-12-24,112400,112400,110900,111100,12492939,-0.35874439461883406
2025-12-26,112400,117000,112400,117000,33999812,5.3105310531053105
